GridPosition,GridPosition_Squared,Grid_vs_Avg,TeamID,IsTopTeam,Points,Finished,Driver_Top3_SoFar,Driver_AvgPos_Last3,Driver_FinishRate,Team_Top3_SoFar,Team_AvgPos,Top3
1,1,-9.5,0,1,25.0,1,0.0,10.0,0.8,0.0,10.0,1
2,4,-8.5,0,1,18.0,1,0.0,10.0,0.8,1.0,1.0,1
5,25,-5.5,1,0,15.0,1,0.0,10.0,0.8,0.0,10.0,1
4,16,-6.5,2,1,12.0,1,0.0,10.0,0.8,0.0,10.0,0
7,49,-3.5,3,1,10.0,1,0.0,10.0,0.8,0.0,10.0,0
8,64,-2.5,1,0,8.0,1,0.0,10.0,0.8,1.0,3.0,0
6,36,-4.5,3,1,6.0,1,0.0,10.0,0.8,0.0,5.0,0
12,144,1.5,4,0,4.0,1,0.0,10.0,0.8,0.0,10.0,0
20,400,9.5,5,0,2.0,1,0.0,10.0,0.8,0.0,10.0,0
15,225,4.5,6,0,1.0,1,0.0,10.0,0.8,0.0,10.0,0
14,196,3.5,7,0,0.0,1,0.0,10.0,0.8,0.0,10.0,0
16,256,5.5,6,0,0.0,0,0.0,10.0,0.8,0.0,10.0,0
17,289,6.5,8,0,0.0,0,0.0,10.0,0.8,0.0,10.0,0
19,361,8.5,7,0,0.0,0,0.0,10.0,0.8,0.0,11.0,0
10,100,-0.5,8,0,0.0,0,0.0,10.0,0.8,0.0,13.0,0
13,169,2.5,4,0,0.0,0,0.0,10.0,0.8,0.0,8.0,0
11,121,0.5,9,1,0.0,0,0.0,10.0,0.8,0.0,10.0,0
9,81,-1.5,5,0,0.0,0,0.0,10.0,0.8,0.0,9.0,0
3,9,-7.5,2,1,0.0,0,0.0,10.0,0.8,0.0,4.0,0
18,324,7.5,9,1,0.0,0,0.0,10.0,0.8,0.0,17.0,0
1,1,-9.5,0,1,25.0,1,1.0,2.0,1.0,2.0,1.5,1
15,225,4.5,0,1,19.0,1,1.0,1.0,1.0,3.0,1.3333333333333333,1
2,4,-8.5,1,0,15.0,1,1.0,3.0,1.0,1.0,4.5,1
3,9,-7.5,3,1,12.0,1,0.0,7.0,1.0,0.0,6.0,0
7,49,-3.5,3,1,10.0,1,0.0,5.0,1.0,0.0,5.333333333333333,0
4,16,-6.5,2,1,8.0,1,0.0,4.0,1.0,0.0,11.5,0
12,144,1.5,2,1,6.0,1,0.0,19.0,0.0,0.0,9.666666666666666,0
6,36,-4.5,5,0,4.0,1,0.0,18.0,0.0,0.0,13.5,0
9,81,-1.5,5,0,2.0,1,0.0,9.0,1.0,0.0,11.666666666666666,0
13,169,2.5,8,0,1.0,1,0.0,13.0,0.0,0.0,14.0,0
16,256,5.5,7,0,0.0,1,0.0,11.0,1.0,0.0,12.5,0
10,100,-0.5,8,0,0.0,1,0.0,15.0,0.0,0.0,12.666666666666666,0
11,121,0.5,4,0,0.0,1,0.0,16.0,0.0,0.0,12.0,0
18,324,7.5,7,0,0.0,1,0.0,14.0,0.0,0.0,12.0,0
8,64,-2.5,9,1,0.0,1,0.0,20.0,0.0,0.0,18.5,0
20,400,9.5,6,0,0.0,1,0.0,12.0,0.0,0.0,11.0,0
19,361,8.5,9,1,0.0,1,0.0,17.0,0.0,0.0,17.333333333333332,0
14,196,3.5,4,0,0.0,0,0.0,8.0,1.0,0.0,12.333333333333334,0
17,289,6.5,6,0,0.0,0,0.0,10.0,1.0,0.0,12.666666666666666,0
5,25,-5.5,1,0,0.0,0,0.0,6.0,1.0,2.0,4.0,0
1,1,-9.5,0,1,25.0,1,2.0,1.5,1.0,4.0,1.5,1
3,9,-7.5,3,1,18.0,1,0.0,5.0,1.0,0.0,5.25,1
4,16,-6.5,1,0,15.0,1,2.0,3.0,1.0,2.0,8.0,1
6,36,-4.5,1,0,12.0,1,0.0,13.0,0.5,3.0,7.0,0
20,400,9.5,0,1,11.0,1,2.0,1.5,1.0,5.0,1.4,0
13,169,2.5,9,1,8.0,1,0.0,17.0,0.5,0.0,17.25,0
10,100,-0.5,8,0,6.0,1,0.0,13.5,0.5,0.0,12.5,0
16,256,5.5,9,1,4.0,1,0.0,17.5,0.5,0.0,15.0,0
17,289,6.5,4,0,2.0,1,0.0,14.5,0.5,0.0,13.75,0
12,144,1.5,7,0,1.0,1,0.0,11.0,1.0,0.0,12.5,0
19,361,8.5,4,0,0.0,1,0.0,13.0,0.5,0.0,12.8,0
5,25,-5.5,2,1,0.0,1,0.0,5.0,1.0,0.0,9.0,0
9,81,-1.5,5,0,0.0,0,0.0,9.0,1.0,0.0,11.0,0
11,121,0.5,5,0,0.0,0,0.0,13.0,0.5,0.0,11.4,0
15,225,4.5,7,0,0.0,0,0.0,14.0,0.5,0.0,12.0,0
18,324,7.5,6,0,0.0,0,0.0,14.0,0.5,0.0,14.25,0
14,196,3.5,8,0,0.0,0,0.0,11.5,0.5,0.0,11.4,0
2,4,-8.5,3,1,0.0,0,0.0,5.5,1.0,1.0,4.6,0
8,64,-2.5,6,0,0.0,0,0.0,14.5,0.5,0.0,14.6,0
7,49,-3.5,2,1,0.0,0,0.0,13.0,0.5,0.0,9.6,0
3,9,-7.5,0,1,25.0,1,2.0,2.6666666666666665,1.0,5.0,2.0,1
2,4,-8.5,0,1,18.0,1,3.0,1.3333333333333333,1.0,6.0,1.8571428571428572,1
1,1,-9.5,2,1,15.0,1,0.0,15.333333333333334,0.3333333333333333,0.0,11.333333333333334,1
6,36,-4.5,1,0,12.0,1,3.0,3.0,1.0,3.0,6.5,0
4,16,-6.5,2,1,10.0,1,0.0,7.333333333333333,1.0,1.0,10.142857142857142,0
5,25,-5.5,3,1,8.0,1,1.0,4.0,1.0,1.0,6.833333333333333,0
9,81,-1.5,1,0,6.0,1,0.0,10.0,0.6666666666666666,3.0,6.142857142857143,0
11,121,0.5,3,1,5.0,1,0.0,9.666666666666666,0.6666666666666666,1.0,6.714285714285714,0
7,49,-3.5,9,1,2.0,1,0.0,13.333333333333334,0.6666666666666666,0.0,13.833333333333334,0
8,64,-2.5,7,0,1.0,1,0.0,10.666666666666666,1.0,0.0,12.5,0
10,100,-0.5,9,1,0.0,1,0.0,14.333333333333334,0.6666666666666666,0.0,13.142857142857142,0
12,144,1.5,6,0,0.0,1,0.0,16.0,0.3333333333333333,0.0,15.333333333333334,0
16,256,5.5,8,0,0.0,1,0.0,13.333333333333334,0.3333333333333333,0.0,12.333333333333334,0
17,289,6.5,5,0,0.0,1,0.0,10.333333333333334,0.6666666666666666,0.0,11.833333333333334,0
19,361,8.5,5,0,0.0,1,0.0,13.333333333333334,0.3333333333333333,0.0,12.142857142857142,0
14,196,3.5,6,0,0.0,1,0.0,14.666666666666666,0.3333333333333333,0.0,14.857142857142858,0
20,400,9.5,8,0,0.0,0,0.0,11.333333333333334,0.6666666666666666,0.0,12.428571428571429,0
13,169,2.5,4,0,0.0,0,0.0,12.333333333333334,0.6666666666666666,0.0,12.5,0
15,225,4.5,4,0,0.0,0,0.0,12.666666666666666,0.6666666666666666,0.0,13.285714285714286,0
18,324,7.5,7,0,0.0,0,0.0,14.333333333333334,0.3333333333333333,0.0,12.142857142857142,0
9,81,-1.5,0,1,26.0,1,4.0,1.6666666666666667,1.0,7.0,1.875,1
1,1,-9.5,0,1,18.0,1,3.0,2.3333333333333335,1.0,8.0,1.7777777777777777,1
2,4,-8.5,1,0,15.0,1,3.0,3.3333333333333335,1.0,3.0,6.25,1
6,36,-4.5,3,1,12.0,1,0.0,10.0,0.75,1.0,6.875,0
3,9,-7.5,2,1,10.0,1,0.0,7.666666666666667,1.0,1.0,9.5,0
13,169,2.5,3,1,8.0,1,1.0,4.333333333333333,1.0,1.0,6.555555555555555,0
7,49,-3.5,2,1,6.0,1,1.0,10.0,0.5,1.0,9.0,0
5,25,-5.5,5,0,4.0,1,0.0,12.0,0.75,0.0,12.5,0
8,64,-2.5,5,0,2.0,1,0.0,12.333333333333334,0.5,0.0,12.0,0
4,16,-6.5,8,0,1.0,1,0.0,13.333333333333334,0.5,0.0,13.0,0
17,289,6.5,7,0,0.0,1,0.0,10.333333333333334,1.0,0.0,13.125,0
18,324,7.5,1,0,0.0,1,0.0,10.333333333333334,0.75,4.0,5.888888888888889,0
10,100,-0.5,4,0,0.0,1,0.0,15.666666666666666,0.5,0.0,14.0,0
11,121,0.5,6,0,0.0,1,0.0,16.666666666666668,0.5,0.0,15.0,0
12,144,1.5,8,0,0.0,1,0.0,12.0,0.5,0.0,12.666666666666666,0
14,196,3.5,4,0,0.0,1,0.0,13.666666666666666,0.5,0.0,13.88888888888889,0
16,256,5.5,9,1,0.0,1,0.0,10.666666666666666,0.75,0.0,12.875,0
15,225,4.5,7,0,0.0,1,0.0,16.333333333333332,0.25,0.0,12.88888888888889,0
19,361,8.5,9,1,0.0,0,0.0,11.333333333333334,0.75,0.0,13.333333333333334,0
20,400,9.5,6,0,0.0,0,0.0,16.0,0.5,0.0,14.88888888888889,0
1,1,-9.5,0,1,25.0,1,5.0,1.3333333333333333,1.0,9.0,1.8,1
2,4,-8.5,1,0,18.0,1,4.0,3.3333333333333335,1.0,4.0,6.5,1
3,9,-7.5,5,0,15.0,1,0.0,12.666666666666666,0.6,0.0,11.7,1
5,25,-5.5,3,1,13.0,1,1.0,4.666666666666667,1.0,1.0,6.5,0
8,64,-2.5,3,1,10.0,1,0.0,10.0,0.8,1.0,6.2727272727272725,0
6,36,-4.5,2,1,8.0,1,1.0,10.0,0.6,1.0,8.8,0
7,49,-3.5,5,0,6.0,1,0.0,11.666666666666666,0.8,1.0,10.909090909090908,0
4,16,-6.5,2,1,4.0,1,0.0,7.333333333333333,1.0,1.0,8.545454545454545,0
10,100,-0.5,9,1,2.0,0,0.0,10.666666666666666,0.8,0.0,13.9,0
11,121,0.5,9,1,1.0,0,0.0,12.666666666666666,0.6,0.0,13.454545454545455,0
15,225,4.5,4,0,0.0,0,0.0,14.0,0.6,0.0,14.1,0
12,144,1.5,7,0,0.0,0,0.0,17.666666666666668,0.4,0.0,13.4,0
19,361,8.5,4,0,0.0,0,0.0,14.666666666666666,0.6,0.0,13.818181818181818,0
13,169,2.5,6,0,0.0,0,0.0,15.0,0.6,0.0,15.4,0
9,81,-1.5,7,0,0.0,0,0.0,10.333333333333334,1.0,0.0,13.272727272727273,0
20,400,9.5,0,1,0.0,0,4.0,2.6666666666666665,1.0,10.0,1.7272727272727273,0
18,324,7.5,8,0,0.0,0,0.0,13.0,0.6,0.0,12.9,0
16,256,5.5,6,0,0.0,0,0.0,17.333333333333332,0.4,0.0,15.272727272727273,0
17,289,6.5,8,0,0.0,0,0.0,13.333333333333334,0.6,0.0,13.272727272727273,0
14,196,3.5,1,0,0.0,0,0.0,7.666666666666667,0.8,5.0,6.090909090909091,0
1,1,-9.5,0,1,26.0,1,6.0,1.3333333333333333,1.0,10.0,2.9166666666666665,1
4,16,-6.5,3,1,18.0,1,1.0,5.333333333333333,1.0,1.0,6.166666666666667,1
12,144,1.5,3,1,15.0,1,0.0,5.666666666666667,0.8333333333333334,2.0,5.846153846153846,1
11,121,0.5,0,1,12.0,1,4.0,6.333333333333333,0.8333333333333334,11.0,2.769230769230769,0
2,4,-8.5,2,1,10.0,1,0.0,6.0,1.0,1.0,8.5,0
5,25,-5.5,1,0,8.0,1,0.0,13.0,0.6666666666666666,5.0,7.25,0
8,64,-2.5,1,0,6.0,1,5.0,3.0,1.0,5.0,7.153846153846154,0
6,36,-4.5,5,0,4.0,1,1.0,9.0,0.6666666666666666,1.0,10.583333333333334,0
13,169,2.5,4,0,2.0,1,0.0,16.0,0.5,0.0,13.75,0
10,100,-0.5,5,0,1.0,1,0.0,9.666666666666666,0.8333333333333334,1.0,10.384615384615385,0
19,361,8.5,2,1,0.0,1,1.0,5.333333333333333,0.6666666666666666,1.0,8.23076923076923,0
15,225,4.5,7,0,0.0,1,0.0,12.0,0.8333333333333334,0.0,13.416666666666666,0
9,81,-1.5,9,1,0.0,0,0.0,13.333333333333334,0.5,0.0,13.166666666666666,0
14,196,3.5,7,0,0.0,0,0.0,16.666666666666668,0.3333333333333333,0.0,13.307692307692308,0
7,49,-3.5,8,0,0.0,0,0.0,16.333333333333332,0.5,0.0,13.75,0
18,324,7.5,6,0,0.0,0,0.0,13.333333333333334,0.5,0.0,15.5,0
3,9,-7.5,9,1,0.0,0,0.0,11.666666666666666,0.6666666666666666,0.0,13.153846153846153,0
17,289,6.5,8,0,0.0,0,0.0,14.0,0.5,0.0,13.846153846153847,0
16,256,5.5,4,0,0.0,0,0.0,14.0,0.5,0.0,13.384615384615385,0
